2007.05.22,09:41,239.69,239.84,239.16,239.7,0
2007.05.23,10:52,241.55,241.64,239.67,241.54,0
2007.05.24,11:56,241.08,241.91,240.79,241.08,0
2007.05.25,12:46,241.57,241.74,239.74,241.57,0
2007.05.28,20:13,241.35,241.87,241.22,241.34,0
2007.05.29,20:58,240.76,241.61,240.6,240.75,0
2007.05.30,21:36,240.41,241.09,239.84,240.35,0
2007.05.31,23:19,241.18,241.25,239.95,241.18,0
2007.06.04,01:22,242.02,242.22,241.07,242.04,0
2007.06.05,02:57,242.85,242.99,241.85,242.86,0
2007.06.06,03:35,241.99,243.06,241.61,241.97,0
2007.06.07,04:16,241.75,242.2,240.69,241.76,0
2007.06.08,04:42,238.56,241.82,237.73,238.58,0
2007.06.11,05:38,239.39,239.91,238.12,239.38,0
2007.06.12,06:40,240.36,240.58,239.26,240.39,0
2007.06.13,07:15,240.87,241.5,239.8,240.92,0
2007.06.14,07:46,242.18,242.45,240.86,242.18,0
2007.06.15,09:03,243.72,243.74,241.88,243.7,0
2007.06.18,10:16,244.82,245.04,243.67,244.8,0
2007.06.19,11:10,245.41,245.6,244.72,245.38,0
2007.06.20,12:14,246.47,246.57,244.76,246.48,0
2007.06.21,12:51,246.5,246.68,245.92,246.48,0
2007.06.22,14:25,247.54,248.0,246.36,247.55,0
2007.06.25,15:59,246.92,247.87,246.54,246.88,0
2007.06.26,16:57,246.37,247.2,245.28,246.37,0
2007.06.27,17:33,245.57,246.45,244.04,245.6,0
2007.06.28,18:14,246.76,246.84,245.4,246.76,0
2007.07.01,18:52,247.31,247.88,246.53,247.33,0
2007.07.02,19:51,246.71,247.66,246.11,246.74,0
2007.07.03,21:16,247.02,247.68,246.31,247.01,0
2007.07.04,23:37,247.53,247.57,246.61,247.54,0
2007.07.06,00:52,247.52,247.68,246.66,247.51,0
2007.07.09,02:45,248.67,248.78,247.48,248.67,0
2007.07.10,04:34,248.65,248.84,248.18,248.76,0
2007.07.11,04:43,246.42,248.8,245.15,246.47,0
2007.07.12,05:02,248.28,249.0,246.35,248.26,0
2007.07.13,05:44,248.64,248.84,248.16,248.68,0
2007.07.16,07:21,248.13,248.98,247.67,248.07,0
2007.07.17,08:36,249.86,249.92,247.94,249.89,0
2007.07.18,09:05,250.28,250.58,249.67,250.28,0
2007.07.19,10:12,250.23,250.53,249.81,250.24,0
2007.07.20,11:16,249.34,251.18,248.67,249.34,0
2007.07.23,11:36,249.86,250.18,248.6,249.88,0
2007.07.24,12:16,248.79,249.94,248.51,248.81,0
2007.07.25,12:18,246.74,249.2,246.34,246.7,0
2007.07.26,12:40,244.31,247.82,243.61,244.36,0
2007.07.27,12:44,240.77,244.61,240.14,240.88,0
2007.07.30,12:49,239.99,241.5,238.37,239.98,0
2007.07.31,12:53,242.72,242.99,239.83,242.63,0
2007.08.01,13:05,240.7,242.84,237.68,240.69,0
2007.08.02,13:10,242.48,243.19,239.95,242.48,0
2007.08.03,13:52,242.27,243.0,241.22,242.29,0
